ordinary "Ordinary Time"
palladiusHermit "St Palladius the Hermit"
isaacSyrian "St Isaac the Syrian"
ephraimNovotorzhsk "St Ephraim the Wonderworker of Novotorzhsk"
ephraimKievCaves "St Ephraim of the Kiev Caves"
theodosiusTotma "St Theodosius of the Totma Monastery"

ignatiusAntioch-relicsTranslation "St Ignatius of Antioch, Translation of Relics"
martyrsSamosata "Seven Martyrs at Samosata"
silvanus-luke-mocius "Ss Silvanus of Emesa, Luke the Deacon, and Mocius the Reader"
lawrenceTurov "St Lawrence, Bishop of Turov, Recluse of the Kiev Near Caves"
gerasimus-pitirim-jonah "Ss Gerasimus, Pitirim, and Jonah, Bishops of Perm"

threeHierarchs-synaxis "Synaxis of the Three Hierarchs: Basil the Great, Gregory the Theologian, and John Chrysostom"
hippolytus-others "St Hippolytus and others martyred with him"
zenoAntioch "St Zeno of Antioch"
theophilusNew "St Theophilus the New, of Cyprus"
peterBulgaria "St Peter of Bulgaria"
pelagiaDiveyevo "St Pelagia of Diveyevo Monastery"
iconTinos "Tinos Icon of the Theotokos"

cyrus-john-athanasia "Ss Cyrus and John, and Martyrs Athanasia and her daughters"
martyrsCorinth "Seven Martyrs at Corinth"
nikitaKievCaves "St Nikita of the Kiev Caves"
tryphaenaCyzicus "St Tryphaena of Cyzicus"
arseniusParos "St Arsenius of Paros"

tryphonCampsada "St Tryphon of Campsada"
perpetua-felicitas "Ss Perpetua and Felicitas of Carthage, and those with them"
peterGalatia "St Peter of Galatia"
vendemianusBithynia "St Vendemianus of Bithynia"
brigidKildare "St Brigid of Kildare"

simeon-anna "Ss Simeon and Anna"
azariah "Prophet Azariah"
papias-diodorus-claudianus "Ss Papias, Diodorus, and Claudianus, of Perga"
adrian-eubulus "Ss Adrian and Eubulus"
romanUglich "St Roman of Uglich"

isidorePelusium "St Isidore of Pelusium"
jadorus "St Jadorus"
abrahamArbela "St Abraham of Arbela"
nicholasStudion "St Nicholas the Confessor, of Studion"
georgeVladimir "St George the Great, Prince of Vladimir"
abraham-coprius "Ss Abraham and Coprius of Pechenga"
cyrilNovoezersk "St Cyril of Novoezersk"

agathaSicily "St Agatha of Sicily"
theodosiusChernigov "St Theodosius of Chernigov"
theodula-helladius-macarius-evagrius "Ss Theodula, Helladius, Macarius, and Evagrius, of Anazarbus"
iconSeekerPerishing "Seeker of the Perishing Icon of the Theotokos"

bucolusSmyrna "St Bucolus of Smyrna"
dorothy-sisters-theophilus "Ss Dorothy, Christina and Callista, and Theophilus, of Caesarea"
julianEmesa "St Julian of Emesa"
fausta-evilasius-maximus "Ss Fausta, Evilasius, and Maximus, of Cyzicus"
barsanuphius-john "Ss Barsanuphius the Great and John the Prophet"
photiusConstantinople "St Photius, Patriarch of Constantinople"
martha-mary-lycarion "Ss Martha, Mary, and Lycarion"

partheniusLampsacus "St Parthenius of Lampsacus"
martyrs1003Nicomedia "1,003 Martyrs of Nicomedia"
lukeHellas "St Luke of Hellas"
peter-vasily-stephan-boris "Ss Peter of Voronezh, Vasily of Priluk, Stephan, and Boris"
